occurrenceID,Tijdstempel,Invuller 2,Datum,Jaar,Locatie,actie,fuiklengte,Net verhoogd?,lat,long,Type,locationID,eventID,fuikNr,Hoek,Opmerkingen,scientificname,fuiktype,lifestage,individualCount,recordedBy,identifiedBy,taxonkey
1ad1ae99-273a-49a7-8145-afae389c7714,2019-05-07T12:47:27Z,NA,2020-08-11,2020,kasterlee 14,Afvangst,NA,NA,51.272036,5.016092,Stilstaand,31afab53-0d30-4026-af4d-e94dcecd79c4,11-8-2020_kasterlee 14,Fuik 1,NA,NA,Anguilla anguilla,NA NA,NA,NA,Natuurpunt,Natuurpunt,5212973
74b6d0de-f99f-4f4b-896b-2b877676489b,2019-05-07T12:47:27Z,NA,2020-08-11,2020,kasterlee 14,Afvangst,NA,NA,51.272036,5.016092,Stilstaand,31afab53-0d30-4026-af4d-e94dcecd79c4,11-8-2020_kasterlee 14,Fuik 1,NA,NA,Scardinius erythrophthalmus,NA NA,NA,NA,Natuurpunt,Natuurpunt,2362635
83c514e8-07a1-4e98-bac8-852a398f3117,2019-05-07T12:47:27Z,NA,2020-08-11,2020,kasterlee 14,Afvangst,NA,NA,51.272036,5.016092,Stilstaand,31afab53-0d30-4026-af4d-e94dcecd79c4,11-8-2020_kasterlee 14,Fuik 1,NA,NA,Lepomis gibbosus,NA NA,NA,NA,Natuurpunt,Natuurpunt,2394486
80e4f45c-d65b-4341-a9bb-7f57c1216566,2019-05-07T12:47:27Z,NA,2020-08-11,2020,kasterlee 14,Afvangst,NA,NA,51.272036,5.016092,Stilstaand,31afab53-0d30-4026-af4d-e94dcecd79c4,11-8-2020_kasterlee 14,Fuik 1,NA,NA,Tinca tinca,NA NA,NA,NA,Natuurpunt,Natuurpunt,2362524
8c19dad5-5527-414c-9e55-103ef7eab15c,2019-05-07T12:47:27Z,NA,2020-08-11,2020,kasterlee 14,Afvangst,NA,NA,51.272036,5.016092,Stilstaand,31afab53-0d30-4026-af4d-e94dcecd79c4,11-8-2020_kasterlee 14,Fuik 2,NA,NA,Anguilla anguilla,NA NA,NA,NA,Natuurpunt,Natuurpunt,5212973
aeb59121-fa9e-4b6a-be40-245175290ecd,2019-05-07T12:47:27Z,NA,2020-08-11,2020,kasterlee 14,Afvangst,NA,NA,51.272036,5.016092,Stilstaand,31afab53-0d30-4026-af4d-e94dcecd79c4,11-8-2020_kasterlee 14,Fuik 2,NA,NA,Scardinius erythrophthalmus,NA NA,NA,NA,Natuurpunt,Natuurpunt,2362635
7749799f-e86e-4531-b8f6-510e6cc3b3e0,2019-05-15T16:42:41Z,NA,2020-08-11,2020,kasterlee 2,Afvangst,NA,NA,51.26831,5.015244,Stilstaand,902992af-4522-4053-8807-fb181584bdc4,11-8-2020_kasterlee 2,Fuik 1,NA,NA,Carassius gibelio,NA NA,NA,NA,Natuurpunt,Natuurpunt,2366634
8d1f085a-425c-4ba3-a98d-3d0d02bd5acc,2019-05-15T16:42:41Z,NA,2020-08-11,2020,kasterlee 2,Afvangst,NA,NA,51.26831,5.015244,Stilstaand,902992af-4522-4053-8807-fb181584bdc4,11-8-2020_kasterlee 2,Fuik 1,NA,NA,Scardinius erythrophthalmus,NA NA,NA,NA,Natuurpunt,Natuurpunt,2362635
051a6244-8351-434b-bcd0-911c6a9e2c66,2019-05-15T16:42:41Z,NA,2020-08-11,2020,kasterlee 2,Afvangst,NA,NA,51.26831,5.015244,Stilstaand,902992af-4522-4053-8807-fb181584bdc4,11-8-2020_kasterlee 2,Fuik 2,NA,NA,Carassius gibelio,NA NA,NA,NA,Natuurpunt,Natuurpunt,2366634
bf16f5f8-7a06-4602-a13c-0e1e1816430e,2019-05-15T16:42:41Z,NA,2020-08-11,2020,kasterlee 2,Afvangst,NA,NA,51.26831,5.015244,Stilstaand,902992af-4522-4053-8807-fb181584bdc4,11-8-2020_kasterlee 2,Fuik 2,NA,NA,Scardinius erythrophthalmus,NA NA,NA,NA,Natuurpunt,Natuurpunt,2362635
ac34fe04-6e5e-426b-ab62-85f2f3f1ddda,2019-05-15T16:42:41Z,NA,2020-08-11,2020,kasterlee 2,Afvangst,NA,NA,51.26831,5.015244,Stilstaand,902992af-4522-4053-8807-fb181584bdc4,11-8-2020_kasterlee 2,Fuik 3,NA,NA,Scardinius erythrophthalmus,NA NA,NA,NA,Natuurpunt,Natuurpunt,2362635
0cd6c3cf-a644-4314-b296-bc9e79db6ee7,2019-05-15T16:50:44Z,NA,2020-08-11,2020,kasterlee 3,Afvangst,NA,NA,51.268579,5.014848,Stilstaand,fa5d281f-6266-4d4b-b6a7-cd44132e9b99,11-8-2020_kasterlee 3,Fuik 1,NA,NA,Scardinius erythrophthalmus,NA NA,NA,NA,Natuurpunt,Natuurpunt,2362635
fc4d1424-3cdf-4f28-919d-621617732598,2019-05-15T16:50:44Z,NA,2020-08-11,2020,kasterlee 3,Afvangst,NA,NA,51.268579,5.014848,Stilstaand,fa5d281f-6266-4d4b-b6a7-cd44132e9b99,11-8-2020_kasterlee 3,Fuik 2,NA,NA,Scardinius erythrophthalmus,NA NA,NA,NA,Natuurpunt,Natuurpunt,2362635
078d9a95-e1bb-46c7-b135-1dbdada33e8f,2019-05-15T16:55:07Z,NA,2020-08-13,2020,retiebaan 2,Afvangst,NA,NA,51.247718,5.008589,Stilstaand,4e76c083-9d1e-4900-8395-911d04e4e5ea,13-8-2020_retiebaan 2,Fuik 1,NA,NA,Perca fluviatilis,NA NA,NA,NA,Natuurpunt,Natuurpunt,8140485
4441afd3-621b-4871-a821-9e3c88f364fb,2019-05-15T16:55:07Z,NA,2020-08-13,2020,retiebaan 2,Afvangst,NA,NA,51.247718,5.008589,Stilstaand,4e76c083-9d1e-4900-8395-911d04e4e5ea,13-8-2020_retiebaan 2,Fuik 1,NA,NA,Anguilla anguilla,NA NA,NA,NA,Natuurpunt,Natuurpunt,5212973
90b6d5f2-b80e-429a-95e1-191ec0eb5144,2019-05-15T16:55:07Z,NA,2020-08-13,2020,retiebaan 2,Afvangst,NA,NA,51.247718,5.008589,Stilstaand,4e76c083-9d1e-4900-8395-911d04e4e5ea,13-8-2020_retiebaan 2,Fuik 1,NA,NA,Scardinius erythrophthalmus,NA NA,NA,NA,Natuurpunt,Natuurpunt,2362635
13065083-c42b-483d-8543-339f02a056bc,2019-05-15T16:55:07Z,NA,2020-08-13,2020,retiebaan 2,Afvangst,NA,NA,51.247718,5.008589,Stilstaand,4e76c083-9d1e-4900-8395-911d04e4e5ea,13-8-2020_retiebaan 2,Fuik 1,NA,NA,Gobio gobio,NA NA,NA,NA,Natuurpunt,Natuurpunt,4409628
cb077066-fadd-4a02-8a31-ca42b1db1a22,2019-05-15T16:55:07Z,NA,2020-08-13,2020,retiebaan 2,Afvangst,NA,NA,51.247718,5.008589,Stilstaand,4e76c083-9d1e-4900-8395-911d04e4e5ea,13-8-2020_retiebaan 2,Fuik 2,NA,NA,Anguilla anguilla,NA NA,NA,NA,Natuurpunt,Natuurpunt,5212973
145f7d84-1fe4-493e-a4ba-24f15a61be67,2019-05-15T16:55:07Z,NA,2020-08-13,2020,retiebaan 2,Afvangst,NA,NA,51.247718,5.008589,Stilstaand,4e76c083-9d1e-4900-8395-911d04e4e5ea,13-8-2020_retiebaan 2,Fuik 2,NA,NA,Scardinius erythrophthalmus,NA NA,NA,NA,Natuurpunt,Natuurpunt,2362635
49639d33-e091-4a1f-9a07-e93c051bf179,2019-06-05T23:03:32Z,Sander Devisscher,2019-05-07,2019,kasterlee 3,Afvangst,NA,TRUE,51.268579,5.014848,Stilstaand,fa5d281f-6266-4d4b-b6a7-cd44132e9b99,7-5-2019_kasterlee 3,Fuik 1,NA,NA,Scardinius erythrophthalmus,NA NA,NA,NA,INBO,INBO,2362635
07eb6083-80f6-4317-affa-5ac88e2f40fa,2019-06-05T23:03:32Z,Sander Devisscher,2019-05-07,2019,kasterlee 3,Afvangst,NA,TRUE,51.268579,5.014848,Stilstaand,fa5d281f-6266-4d4b-b6a7-cd44132e9b99,7-5-2019_kasterlee 3,Fuik 1,NA,NA,Gobio gobio,NA NA,NA,NA,INBO,INBO,4409628
